Breed,Disease,Disorder,Recommended Recipes
affenpinscher,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
affenpinscher,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
afghan hound,Hypothyroidism,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
afghan hound,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
afghan hound,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
afghan hound,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
afghan hound,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
afghan hound,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
afghan hound,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
afghan hound,Demodicosis/ Demodectic mange,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
airedale terrier,von Willebrand's disease,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
airedale terrier,Pulmonic stenosis,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
airedale terrier,Hypothyroidism,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
airedale terrier,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
airedale terrier,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
airedale terrier,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
